area,lat,lon,crime_rate
Chitranjan Park,28.53632,77.2492,3.15
Dabri,28.61268,77.086,2.28
Malviya Nagar,28.52989,77.20418,7.88
Chandni Mahal,28.64361,77.23608,2.16
Model Town,28.70257,77.19369,2.93
Anandvihar,28.65335,77.29373,2.5
Kashmere Gate,28.66645,77.22618,3.74
Govind Puri,28.53067,77.26532,1.89
Bindapur,28.6091,77.06618,3.21
New Friends Colony,28.56234,77.2676,2.91
Sarita Vihar,28.52299,77.30617,1.3
Timarpur,28.7072,77.2242,2.32
Kanjhawala,28.72582,77.00361,1.07
Anand Parbat,28.66004,77.17376,4.01
Sagarpur,28.59139,77.08644,2.8
Prashant Vihar,28.71793,77.12757,4.06
South Campus,28.57051,77.179,1.77
Rohini South,28.70236,77.1159,3.99
Punjabi Bagh,28.67441,77.13276,7.25
Dwarka North,28.60369,77.01564,1.0
Burari,28.73664,77.19735,1.63
Jama Masjid,28.65284,77.23362,2.04
Adrash Nagar,28.70984,77.17532,3.96
Chanakyapuri,28.60337,77.19606,1.7
Pandav Nagar,28.62038,77.30265,4.33
Mianwali Nagar,28.67965,77.08879,4.22
Fatehpur Beri,28.46549,77.15114,1.2
Nabi Karim,28.64981,77.21754,5.14
Rajouri Garden,28.63969,77.11992,5.15
Jahangir Puri,28.73358,77.17487,3.38
Kamla Market,28.64295,77.22621,1.46
Barakhamba Road,28.63089,77.22498,4.03
Safdarjung Enclave,28.56934,77.20489,1.46
Mukherji Nagar,28.70024,77.20856,2.57
Farash Bazar,28.66879,77.29224,3.78
Kalkaji,28.53321,77.25743,1.72
Parshad Nagar,28.64784,77.18053,2.44
Lodhi Colony,28.58744,77.24047,2.07
Inderpuri,28.63077,77.14501,3.48
Okhla,28.52678,77.27462,2.57
Samaypurbadli,28.72516,77.14219,1.27
Jaffarpur Kalan,28.59572,76.91555,1.08
Maya Puri,28.62657,77.12084,2.49
Aman Vihar,28.70965,77.06081,3.14
Vijay Vihar,28.71003,77.10186,2.05
Amar Colony,28.55914,77.24093,5.86
Alipur,28.79903,77.13913,1.05
Mahendra Park,28.72579,77.16418,5.21
Vasant Kunj South,28.53492,77.15236,1.01
Bhalswa Dairy,28.74286,77.16574,2.01
Bawana,28.79654,77.04254,1.1
Begum Pur,28.72449,77.05179,1.11
Naraina,28.63356,77.13777,1.33
Neb Sarai,28.49893,77.21428,1.93
Rajinder Nagar,28.63505,77.18285,3.12
Shalimar Bagh,28.71681,77.15712,4.81
Keshav Puram,28.68423,77.15977,4.82
Rani Bagh,28.69784,77.11933,3.32
Bara Hindu Rao,28.66539,77.20846,3.35
Connaught Place,28.63,77.21432,2.92
H. N. Din,28.59238,77.24417,1.23
Darya Ganj,28.6419,77.24062,1.41
Mangolpuri,28.69664,77.09163,1.66
Vivekvihar,28.66676,77.30662,1.27
Lahori Gate,28.65557,77.21885,2.11
Sultan Puri,28.70265,77.07856,5.17
Geeta Colony,28.6554,77.27642,4.21
Civil Lines,28.68851,77.2215,3.41
Ashok Vihar,28.69245,77.17432,2.7
Tilak Nagar,28.63896,77.10143,5.06
Palam Village,28.58809,77.08293,3.13
Moti Nagar,28.66013,77.14659,4.39
Hari Nagar,28.60935,77.09946,3.48
Paharganj,28.64583,77.20931,3.38
Sadar Bazar,28.65399,77.21115,2.51
Sarojini Nagar,28.57449,77.19913,3.27
Najafgarh,28.60975,76.98269,2.26
Kapashera,28.52958,77.0872,1.05
Kalyanpuri,28.61363,77.31708,4.89
Badar Pur,28.49385,77.30357,3.17
Subhash Place,28.68901,77.14412,10.0
Subzimandi,28.66917,77.20774,3.85
Maurice Nagar,28.69251,77.20652,2.03
Mandir Marg,28.63857,77.20325,2.09
Tuglak Road,28.59827,77.21117,2.12
Lajpat Nagar,28.56843,77.24052,2.46
Krishna Nagar,28.66699,77.28072,2.14
Swarup Nagar,28.75841,77.1562,1.48
Greater Kailash,28.5541,77.23278,1.52
Vikas Puri,28.62997,77.06834,3.07
Uttam Nagar,28.62499,77.06488,5.86
Defence Colony,28.56468,77.23337,2.0
Jamia Nagar,28.56207,77.29235,1.45
Pulprahlad Pur,28.50165,77.29099,2.38
Nangloi,28.68199,77.06698,5.79
Hauzqazi,28.64335,77.22548,2.76
Dwarka South,28.57837,77.06666,1.09
Paschim Vihar,28.67112,77.10115,2.85
Tilak Marg,28.61821,77.23537,2.11
Sangam Vihar,28.50957,77.24299,1.74
Mayurvihar,28.60733,77.30367,2.28
Shahbad Dairy,28.74766,77.07894,1.03
Gandhi Nagar,28.65955,77.26733,4.31
Dwarka Sec-23,28.56411,77.05849,1.13
Ranjit Nagar,28.64751,77.15868,3.25
Ranhola,28.65375,77.03599,1.42
Saket,28.52882,77.22715,1.51
Shakarpur,28.63775,77.2703,2.19
Preetvihar,28.63852,77.29526,3.81
Kirti Nagar,28.64053,77.13509,3.02
Hauz Khas,28.54939,77.20847,2.91
Kn Katju Marg,28.73043,77.121,1.37
I.P. Estate,28.6274,77.24722,1.76
Kotala Mubarak Pur,28.5759,77.22514,4.96
Delhi Cantt,28.59872,77.12437,1.03
D.B.G Road,28.65258,77.19326,4.43
Khyala,28.65761,77.11332,5.28
Jagatpuri,28.64359,77.2839,9.22
Patel Nagar,28.65237,77.15822,2.39
Vasant Vihar,28.55797,77.16933,1.0
Karol Bagh,28.65256,77.1932,2.41
Sunlight Colony,28.57835,77.26018,8.7
Narela,28.85321,77.08849,1.17
New Ashok Nagar,28.59818,77.31178,5.03
Parliament Street,28.62473,77.21366,1.9
Nihal Vihar,28.665,77.0717,2.54
Madhuvihar,28.62543,77.30612,2.57
Bharat Nagar,28.68062,77.17851,2.96
Mandawali,28.62543,77.30612,2.31
Baba Hari Das Nagar,28.62867,76.96681,1.15
Chhawla,28.58691,76.99466,1.2
Mehrauli,28.52149,77.18019,1.13
Maurya Enclave,28.70045,77.14605,1.87
Janak Puri,28.62863,77.08188,3.69
Sarai Rohilla,28.66837,77.18368,3.08
Gulabibagh,28.67005,77.19262,2.61
Roop Nagar,28.68499,77.20265,6.6
Vasant Kunj North,28.53486,77.15232,1.52
Rohini North,28.70894,77.11815,3.68
Ghazipur,28.62486,77.33267,1.39
Seemapuri,28.67811,77.31653,1.69
Seelampur,28.6743,77.26855,4.59
Mansarovar Park,28.68277,77.29856,3.2
Shahdara,28.6742,77.28518,2.1
Khajurikhas,28.71113,77.2561,1.55
